code,state,city,start,end,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,sum
13740,VA,ICHMOND,01/03/1939,31/12/2014,4.8,3.9,2.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.8,13.1
13741,VA,OANOKE,01/01/1948,31/12/2014,5.8,6.2,3.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.8,20.2
93739,VA,ALLOPS ISLAND,01/10/1966,31/12/2014,3.1,3.3,1.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.7,9.5
24227,WA,LYMPIA,01/01/1948,31/12/2014,7.1,3.5,1.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.2,3.6,17.3
94240,WA,UILLAYUTE,01/08/1966,31/12/2014,4.5,2.6,1.4,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.9,2.4,12.1
24233,WA,EATTLE,01/01/1948,31/12/2014,4.8,1.7,1.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.9,2.6,11.3
24157,WA,POKANE,01/01/1893,31/12/2014,13.1,7.6,3.6,0.6,0.1,0.0,0.0,0.0,0.0,0.2,5.6,11.5,42.3
24160,WA,ALLA WALLA,01/01/1949,31/12/2014,5.4,2.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.6,4.3,15.2
24243,WA,AKIMA,01/09/1946,31/12/2014,7.7,3.1,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.7,8.0,22.8
03872,WV,ECKLEY,01/06/1963,31/12/2014,17.3,16.2,8.5,2.1,0.0,0.0,0.0,0.0,0.0,0.9,3.5,11.8,60.3
13866,WV,HARLESTON,01/10/1948,31/12/2014,10.6,8.9,5.3,0.8,0.0,0.0,0.0,0.0,0.0,0.3,2.1,5.3,33.3
13729,WV,LKINS,01/01/1926,31/12/2014,16.3,14.6,10.8,3.4,0.0,0.0,0.0,0.0,0.0,0.6,5.4,12.4,63.5
03860,WV,UNTINGTON,01/02/1961,31/12/2014,8.1,6.8,3.9,0.5,0.0,0.0,0.0,0.0,0.0,0.1,1.0,3.6,24.0
14898,WI,REEN BAY,01/09/1886,31/12/2014,12.1,10.3,9.0,2.8,0.2,0.0,0.0,0.0,0.0,0.3,4.3,10.4,49.4
14920,WI,A CROSSE,01/12/1938,31/12/2014,10.5,8.3,8.2,1.8,0.0,0.0,0.0,0.0,0.0,0.1,3.8,9.7,42.4
14837,WI,ADISON,01/10/1939,31/12/2014,11.2,8.8,7.9,2.0,0.1,0.0,0.0,0.0,0.0,0.2,3.4,11.0,44.6
14839,WI,ILWAUKEE,01/11/1938,31/12/2014,14.0,10.5,8.3,1.7,0.1,0.0,0.0,0.0,0.0,0.2,2.8,10.5,48.1
24089,WY,ASPER,01/08/1948,31/12/2014,10.0,10.0,12.7,12.2,3.7,0.2,0.0,0.0,1.3,6.3,9.8,10.4,76.6
24018,WY,HEYENNE,01/01/1915,31/12/2014,5.9,7.3,11.2,10.3,3.2,0.2,0.0,0.0,0.8,4.3,7.1,7.0,57.3
24021,WY,ANDER,01/01/1948,31/12/2014,8.8,11.4,17.0,19.3,6.5,0.6,0.0,0.0,2.3,9.7,12.5,10.5,98.6
24029,WY,HERIDAN,01/01/1948,31/07/2001,11.5,10.6,12.6,10.6,1.7,0.1,0.0,0.0,1.5,4.7,8.5,11.3,73.1
41415,PC,UAM,01/03/1957,31/12/2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40309,PC,OROR,01/07/1951,31/03/2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40604,PC,WAJALEIN- MARSHALL IS.,01/05/1952,31/02/2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40710,PC,AJURO- MARSHALL IS,01/02/1955,31/03/2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61705,PC,AGO PAGO- AMER SAMOA,01/04/1966,31/09/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40504,PC,OHNPEI- CAROLINE IS.,01/07/1951,31/03/2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40505,PC,HUUK- E. CAROLINE IS.,01/07/1951,31/03/2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40308,PC,AP- W CAROLINE IS.,01/07/1951,31/03/2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11641,PR,AN JUAN,01/01/1956,31/03/2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
